Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Pressure_Score,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2019,12,Male,17,Right-Handed,185,28,190,2,Car,25,0.7,,Soccer,950,980,900,900,300,999,28,Same length,90,75,Ring finger,April,Spring,No,No,Fruit,Water,Science,8,9,3,Yes - broadband connection,In person,50,50,,,,,,,,,,,,,Some,3,Graduate degree,Pop,Telepathy,Happy,Sports person,Environment
USA,CA,2020,12,Male,17,Right-Handed,171,25,160,2,Car,5,0.358,27,Soccer,1000,700,700,300,500,1000,25,Same length,65,75,Ring finger,February,Winter,Yes,No,Meat,Water,Science,9,9,5,Yes - broadband connection,Text messaging,82,78,7,0,7,6,6,10,20,3,100,10,0,2,A lot,4,Graduate degree,Pop,,Happy,Other,"Wildlife, animals"
USA,CA,2013,12,Female,17,Right-Handed,240,,17,2,Car,5,10,55,Dancing,1000,1000,1000,999,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Male,17,Right-Handed,175,30,181,2,Car,20,0.32,44,Football (American),647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2017,11,Female,17,Left-Handed,165,20,164,1,Car,20,0.388,36,Swimming,797,774,519,465,642,740,20,Same length,80,79,Index finger,May,Summer,No,No,Fruit,Water,Music,7,8.5,4,Yes - broadband connection,In person,30,40,7,1,20,7,3,0,4,2,4,6,7,2,A lot,4,Graduate degree,Pop,,Happy,Community leader or elder,International aid
USA,CA,2016,9,Female,15,Right-Handed,,,,,Car,10,0.407,54,Dancing,1000,500,1000,1000,10,10,,,,,Index finger,January,Winter,Yes,No,Meat,Soft drink (caffeinated),History,7,10,6,Yes - broadband connection,Text messaging,10,5,5,,15,25,10,,3,1,10,,,5,Some,3,Graduate degree,Pop,Telepathy,Famous,,Health
USA,CA,2016,12,Female,16,Right-Handed,166,23,169,3,Car,18,0.334,31,Dancing,818,882,781,551,1000,1000,23,Same length,90,96,Ring finger,October,Fall,No,No,Desserts,Water,English,4,11,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,100,20,0,18,0,0,3,10,4,80,2,0,0,A lot,4,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development
USA,CA,2019,12,Female,17,Right-Handed,188,20,63,2,Car,60,0.61,48,Dancing,508,466,503,471,979,1000,30.1,Left foot,70,80,Ring finger,February,Fall,,Yes,No favorite,Soft drink (non-caffeinated),Art,5,7,3,Yes - broadband connection,Text messaging,10,15,5,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Female,17,Right-Handed,170,24,168,1,Car,10,0.386,30,Soccer,615,529,690,759,508,749,24,Right foot,83,89,Ring finger,March,Winter,No,No,Pizza/Pasta,Water,Science,8,10,5,Yes - broadband connection,Text messaging,13,35,3,1,15,2,20,0,4,2,8,5,5,1,A lot,4,Graduate degree,Country,Fly,Happy,Relative,Health
USA,CA,2011,12,Female,17,Right-Handed,166,22,161,2,Car,7,0.453,41,Swimming,1000,1000,1000,,900,900,22,Same length,88,88,Same length,May,Summer,Yes,No,Fruit,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,50,50,20,1,30,1,3,0,3,7,15,1,0,7,A lot,4,Graduate degree,Pop,Fly,Healthy,Friend,International aid
USA,CA,2020,12,Female,17,Right-Handed,154,20.5,152,2,Bus,30,0.361,43,Gymnastics,1000,900,900,900,350,700,21,Left foot,60,55,Index finger,June,Summer,Yes,No,No favorite,Water,Science,8,7,3,Yes - broadband connection,Text messaging,30,40,10,30,10,7,10,0,40,30,50,21,0,20,Some,3,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Environment
USA,CA,2018,12,Female,18,Right-Handed,163,23,161,3,Car,5,0.501,45,Swimming,900,600,800,750,650,600,22,Right foot,45,40,Index finger,January,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),English,5,9,5,Yes - broadband connection,Text messaging,55,45,1,2,5,15,15,5,4,3,3,2,0,0,A lot,4,Other,Rap/Hip hop,Freeze time,Famous,Relative,International aid
USA,CA,2019,9,Female,15,Right-Handed,160,24,160,1,Car,9,0.278,43,Golf,800,800,800,800,1000,1000,,Same length,7.8,7.4,Index finger,December,Winter,Yes,No,Other,Water,Mathematics and statistics,6,8,6,Yes - broadband connection,Text messaging,35,35,5,1,20,7,10,0,14,2,16,8,0,10,Some,3,Graduate degree,Techno/Electronic,Fly,Happy,Other,Health
USA,CA,2014,12,Female,17,Right-Handed,162.5,24.1,155,2,Car,10,0.871,38,Running/Jogging,551,695,422,406,636,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2011,12,Female,17,Right-Handed,174,24,125,1,Car,12,0.35,0.512,Soccer,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,9,Male,14,Right-Handed,175.2,68.58,279.4,1,Car,5,0.66,45,Lacrosse,500,200,800,400,900,900,68.58,Right foot,5,4,Index finger,November,Summer,No,No,Meat,Sports drink,History,9,5,5,Yes - broadband connection,Text messaging,5,10,10,1,1,6,15,6,3,4,15,2,1,6,Some,3,Graduate degree,Rap/Hip hop,Super strength,Famous,Sports person,Health
USA,CA,2018,12,Female,17,Right-Handed,161,24,71,1,Car,25,0.352,36,Walking/Hiking,1000,1000,500,800,750,750,23,Right foot,8,10,Ring finger,December,Winter,No,No,Salads,Tea,English,8,8.5,3,Yes - broadband connection,Text messaging,8,12,7,0.25,10,21,8,0,2,5,40,9,0,3,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,CA,2016,12,Female,17,Right-Handed,165,25,40,1,Car,5,2,10,Baseball/Softball,0,0,0,0,0,0,19,Right foot,50,50,Same length,April,Fall,Yes,Yes,Soups,Powdered drink,Science,9,9,5,Yes - dial-up connection,Text messaging,30,40,1,1,1,,,,,,,,,,,,,,,,,
USA,CA,2020,12,Male,17,Right-Handed,173,23,167,3,Car,10,0.38,34,Soccer,900,1000,600,600,900,950,23,Same length,7.5,7.8,Ring finger,December,Winter,Yes,No,Breads/Sandwiches,Water,English,7,8,3,Yes - broadband connection,Text messaging,50,50,0,0,14,14,1,7,14,2,14,1,0,2,A lot,4,Graduate degree,Classical,Fly,Happy,Musician or singer,"Arts, culture, sports"
USA,CA,2019,11,Male,17,Right-Handed,170,100,180,2,Car,13,0.349,30,Soccer,500,500,500,500,1000,1000,30,Left foot,30,32,Ring finger,February,Summer,No,No,Meat,Water,Mathematics and statistics,8.5,10,3,Yes - broadband connection,Text messaging,10,16,2,1,6,3,6,1,3,1,2,3,4,1,Very little,2,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Education/Youth development
USA,CA,2013,12,Female,17,Right-Handed,166,24,166,2,Car,30,0.289,47,Walking/Hiking,316,203,620,599,690,706,25,Left foot,80,69,Index finger,December,Fall,No,No,Meat,Tea,Science,7,8,3,Yes - broadband connection,Text messaging,40,50,7,5,25,10,0,0,6,8,40,3,0,3,A lot,4,Graduate degree,Heavy metal,Fly,Happy,Actor,Health
USA,CA,2014,12,Male,18,Right-Handed,180,26,192,1,Car,20,0.614,59,Football (American),750,1000,750,500,200,200,27,Left foot,8,9,Ring finger,December,Summer,No,No,No favorite,Water,History,8,6,4,Yes - broadband connection,Text messaging,10,5,5,1,10,10,2,15,1,1,10,20,0,5,Some,3,High school,Rock and roll,Telepathy,Happy,Relative,Other
USA,CA,2021,12,Female,17,Right-Handed,167,23,161,2,Rail (Train/Tram/Subway),28,0.431,38,Walking/Hiking,850,850,600,700,1000,1000,23,Same length,70,72,Ring finger,March,Fall,Yes,No,Rice/Noodle dishes,Water,History,7,9,4,Yes - other,Internet chat or instant messaging,0,0,1,0,4,2,0,20,4,1,56,0,0,4,Very little,2,Some college,Pop,Freeze time,Rich,Musician or singer,Environment
USA,CA,2013,12,Female,17,Right-Handed,160,22.5,152,1,Car,5,0.33,35,Bowling,60,590,20,150,1000,800,22.5,Same length,6,6,Same length,January,Winter,Yes,No,Pizza/Pasta,Juice,Science,8,4,2,Yes - broadband connection,Text messaging,169,170,15,5,10,12,8,15,18,10,16,3,0,0,Very little,2,Undergraduate degree,Pop,Super strength,Healthy,Actor,Health
USA,CA,2013,10,Female,16,Right-Handed,153,20,151,2,Car,21,0.341,40,Soccer,768,880,700,1000,600,1000,20,Same length,55,63,Ring finger,January,Summer,Yes,No,Desserts,Water,English,7.5,8.5,3,Yes - broadband connection,Text messaging,15,21,1,0,10,2,20,0.5,0,0.5,10,0.5,0,0.25,Some,3,Other,Rap/Hip hop,Freeze time,Happy,Sports person,Other
USA,CA,2016,11,Male,17,Right-Handed,55,9,70,2,Walk,20,0.659,57,Football (American),337,668,567,193,0,904,9,Same length,20,30,Ring finger,October,Fall,No,No,No favorite,Soft drink (caffeinated),History,7,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,2,5,0,4,25,5,25,20,1,35,15,0,5,A lot,4,Some college,Rap/Hip hop,Fly,Rich,Sports person,Environment
USA,CA,2018,9,Female,14,Right-Handed,157,23,150,3,Car,10,0.364,46,Swimming,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,12,Female,17,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2013,12,Female,17,Right-Handed,153,20,53,2,Car,15,0.833,58,Running/Jogging,354,658,324,786,987,999,20.8,Left foot,57.15,63.5,Ring finger,August,Winter,Yes,No,Fruit,Water,Social studies,6,10,4,Yes - broadband connection,Text messaging,36,36,5,8,3,4,11,1,0,1,18,4,0,1,A lot,4,Graduate degree,Classical,Telepathy,Happy,Relative,Health
USA,CA,2017,9,Female,14,Right-Handed,152,23,150,2,Walk,20,0.35,42,Dancing,1000,100,1000,1000,10,100,22,Same length,6,7,Ring finger,April,Summer,No,No,Seafood,Water,History,8,7,5,Yes - broadband connection,Text messaging,71,110,15,30,2,6,1,20,6,1,1,1,0,0,Some,3,Graduate degree,Other,Telepathy,Healthy,Doctor or nurse,Health
USA,CA,2015,12,Male,16,Right-Handed,188,12,188,1,Car,10,0.391,38,None,813,476,230,337,1000,588,11,Right foot,102,94,Index finger,August,Winter,No,No,Meat,Water,Geography,8,10,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,6,0,8,4,0,1,5,1,8,0,0,0,Some,3,Graduate degree,Other,Super strength,Happy,Teacher,Health
USA,CA,2019,12,Female,16,Right-Handed,164,25.3,172,3,Car,15,0.37,34,Dancing,1000,750,850,1000,350,350,25,Right foot,90,100,Ring finger,June,Spring,Yes,No,No favorite,Water,Mathematics and statistics,6,10,3,Yes - other,In person,3,15,10,1,40,10,4,0,10,5,50,30,0,20,Some,3,Graduate degree,Other,Invisibility,Healthy,Doctor or nurse,Health
USA,CA,2021,12,Female,17,Right-Handed,173,28,174,1,Bicycle,30,0.336,37,Martial Arts,900,900,500,690,800,1000,26,Right foot,7,8,Ring finger,July,Winter,No,No,No favorite,Water,,6,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,10,10,3,20,10,8,3,10,3,50,10,0,7,A lot,4,Graduate degree,Rock and roll,Freeze time,Rich,Relative,International aid
USA,CA,2019,12,Female,17,Right-Handed,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2017,12,Male,14,Right-Handed,177,28,181,1,Walk,20,0.342,69,Football (American),250,250,500,100,10,750,28,Same length,83,84,Ring finger,August,Winter,No,No,Pizza/Pasta,Water,Physical education,7,6,3,Yes - dial-up connection,Cell phone,5,6,4,2,3,3,15,12,10,4,1,0,0,1,A lot,4,Some college,Rap/Hip hop,Freeze time,Happy,Sports person,International aid
USA,CA,2021,12,Female,17,Right-Handed,165,23.5,148,1,Car,10,0.697,101,Walking/Hiking,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Male,18,Right-Handed,177.8,24,63.5,1,Car,20,0.336,55,Other,900,800,800,500,900,1000,24,Right foot,69,71,Ring finger,January,Summer,No,No,Meat,Soft drink (caffeinated),English,7,9,3,Yes - other,Internet chat or instant messaging,5,10,10,2,4,8,7,15,10,2,15,0,0,5,Some,3,Undergraduate degree,Rap/Hip hop,Fly,Happy,Politician,Environment
USA,CA,2012,12,Male,16,Right-Handed,180,24,155,2,Car,4,0.402,37,Basketball,750,750,400,650,950,950,23,Right foot,80,73,Index finger,December,Spring,No,No,Rice/Noodle dishes,Sports drink,History,8,12,3,Yes - broadband connection,Text messaging,100,90,50,0,10,30,8,25,35,5,40,30,0,0,Some,3,Graduate degree,Pop,Telepathy,Happy,Sports person,"Wildlife, animals"
USA,CA,2019,11,Male,16,Right-Handed,165,29,132,2,Car,15,0.326,68,Soccer,100,500,400,400,700,1000,27,Right foot,8,7,Index finger,November,Summer,No,No,Pizza/Pasta,Water,History,7,10,4,Yes - other,Internet chat or instant messaging,0,170,30,0.3,56,21,5,200,24,12,800,21,0,0,A lot,4,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health
USA,CA,2018,11,Male,15,Right-Handed,180,28.5,183,2,Bus,35,0.429,42,Running/Jogging,791,770,765,781,59,348,28.3,Right foot,7.9,7.9,Same length,July,Spring,No,No,Meat,Water,Mathematics and statistics,6,8,4,Yes - other,Cell phone,50,300,5,4,15,6,6,7,7,4,10,3,0,4,A lot,4,Undergraduate degree,Classical,Invisibility,Rich,Other,Education/Youth development
USA,CA,2019,12,Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2012,10,Female,15,Right-Handed,173,24,181,1,Car,17,0.423,47,Other,797,545,455,722,674,840,24.5,Left foot,750,740,Index finger,October,Fall,No,No,Pizza/Pasta,Water,Art,6,9,4,Yes - broadband connection,Internet chat or instant messaging,2,1,21,1,33,6,14,12,7,2,1,15,0,10,A lot,4,Graduate degree,Other,Fly,Famous,Friend,"Wildlife, animals"
USA,CA,2012,12,Female,17,Right-Handed,164,24,164,3,Car,10,0.374,39,Swimming,1000,1000,1000,1000,1000,1000,25,Left foot,70,70,Same length,July,Winter,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,6,10,4,Yes - broadband connection,Text messaging,200,200,0,0,0,0,0,0,0,0,0,0,0,0,A lot,4,Graduate degree,Pop,Fly,Rich,Friend,Health
USA,CA,2017,12,Male,17,Right-Handed,171,25,176,5,Car,15,0.289,43,Football (American),500,500,700,700,800,1000,25,Same length,80,70,Index finger,December,Fall,No,No,Pizza/Pasta,Water,,5,12,6,Yes - broadband connection,Text messaging,500,500,5,1,7,5,8,2,10,10,9,2,35,4,Some,3,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,Education/Youth development
USA,CA,2013,12,Female,16,Ambidextrous,157,21,157,1,Car,7,0.664,38,Basketball,800,700,850,850,200,500,22,Left foot,60,60,Same length,November,Winter,No,No,Meat,Water,Other,7,8,5,Yes - broadband connection,Text messaging,66,180,50,0,13,7,12,0,70,70,5,14,0,2,Some,3,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Friend,Environment
USA,CA,2011,12,Male,17,Right-Handed,183,27,178,1,Car,9,0.374,54,Cycling,800,700,900,,800,1000,27,Same length,7.5,7.5,Same length,October,Fall,No,No,Pizza/Pasta,Water,History,7,10,5,Yes - broadband connection,In person,35,35,14,1,15,30,10,20,7,7,35,10,0,4,Some,3,Graduate degree,Rock and roll,Fly,Rich,Relative,Health
USA,CA,2021,12,Female,17,Right-Handed,175,25,67,1,Car,15,0.415,44,Dancing,1000,1000,1000,1000,500,500,25,Same length,90,95,Ring finger,December,Summer,No,No,Pizza/Pasta,Water,History,8,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,20,3,10,3,15,1,9,2,15,10,0,2,Some,3,Undergraduate degree,Reggae,Fly,Happy,Coach or club leader,Environment
USA,CA,2018,9,Male,15,Right-Handed,175.3,25.4,78.74,1,Car,10,0.382,40,Basketball,7,10,8,6,10,10,25.4,Same length,90,100,Ring finger,April,Summer,No,No,Meat,Water,Physical education,8,8,7,Yes - broadband connection,In person,13,14,35,1,2,20,12,4,0,2,1,10,0,1,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Happy,Sports person,Health
USA,CA,2021,12,Female,17,Right-Handed,,22,,1,Car,10,0.781,47,Swimming,1000,1000,1000,1000,0,10,22,Same length,70,70,Same length,April,Summer,No,No,No favorite,Water,Social studies,9,7,3,Yes - broadband connection,In person,10,10,9,3,150,14,90,0,12,2,20,5,25,3,Some,3,Graduate degree,Techno/Electronic,Freeze time,Healthy,Other,Environment
USA,CA,2015,12,Male,17,Right-Handed,179,26,182,2,Walk,15,0.768,39,None,0,700,800,1000,700,800,26,Same length,110,125,Ring finger,January,Spring,No,No,Seafood,Water,History,7,8,3,,Internet chat or instant messaging,32,29,8,4,10,7,0,30,40,7,50,10,0,5,None,1,High school,Classical,Freeze time,Happy,,
USA,CA,2015,11,Male,15,Right-Handed,210,30,183,3,Car,10,0.439,30,Swimming,756,900,127,90,100,1000,30,Same length,8.3,8.4,Ring finger,September,Winter,No,No,Seafood,Water,Mathematics and statistics,7,5,3,Yes - other,Cell phone,34,47,2,1,3,5,3,1,0,2,2,0,2,3,Some,3,Other,Techno/Electronic,Freeze time,Healthy,Other,Health
USA,CA,2017,12,Male,15,Right-Handed,182.9,27,182.9,2,Bus,25,0.384,33,Basketball,500,600,800,800,1000,1000,27,Same length,80,80,Same length,October,Fall,No,No,Pizza/Pasta,Powdered drink,Physical education,8,10,4,Yes - broadband connection,Text messaging,52,78,60,2,12,48,7,2,5,10,40,15,0,3,Some,3,Graduate degree,Pop,Freeze time,Rich,Sports person,Environment
USA,CA,2017,12,Female,15,,163,24,162,2,Car,13,0.239,55,Other,900,900,900,800,1000,1000,24,Same length,75,80,Ring finger,February,Summer,No,No,Desserts,Soft drink (non-caffeinated),Music,6,10,4,Yes - broadband connection,Internet chat or instant messaging,0,0,2,0,18,8,8,0,2,3,10,0,0,1,Some,3,Graduate degree,Classical,Freeze time,Happy,Coach or club leader,"Wildlife, animals"
USA,CA,2020,12,Female,17,Right-Handed,154.9,22.5,,1,Car,15,28.1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2017,11,Female,18,Right-Handed,168,22,160,2,Walk,10,0.412,48,Tennis,1000,1000,900,1000,500,500,23,Left foot,73,74,Ring finger,January,Winter,No,No,Fruit,Water,Mathematics and statistics,6.5,11,4,Yes - broadband connection,Internet chat or instant messaging,18,19,13,3,18,16,7,1,12,5,16,5,8,4,A lot,4,Graduate degree,Other,Invisibility,Rich,Other,Environment
USA,CA,2012,12,Female,17,Right-Handed,162,22,154,1,Car,7,0.447,37,Baseball/Softball,800,900,900,500,500,500,22,Same length,13,14,Ring finger,May,Fall,Yes,No,Seafood,Water,Mathematics and statistics,7,10,7,Yes - other,Text messaging,200,200,33,2,10,5,6,0,14,14,10,5,0,0,Some,3,Graduate degree,Other,Invisibility,Happy,Musician or singer,Health
USA,CA,2021,12,Female,16,Right-Handed,169,27,150,2,Car,19,0.419,34,Other,1000,727,765,882,1000,1000,26,Right foot,71,84,Ring finger,April,Fall,No,No,Seafood,Water,Science,7.5,8.5,3,Yes - broadband connection,Text messaging,35,40,8,5,16,12,10,0,5,5,10,2,12,4,A lot,4,Graduate degree,Jazz,Fly,Happy,Relative,Education/Youth development
USA,CA,2019,12,Male,16,Right-Handed,173,26,177,2,Car,6,0.353,39,Soccer,636,513,422,326,791,936,26,Same length,87,81,Index finger,February,Winter,Yes,No,Desserts,Milk,Science,6,9,4,Yes - broadband connection,In person,20,50,2,0,35,10,4,0,7,2,10,3,0,5,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Health
USA,CA,2010,12,Female,17,Right-Handed,57,12,58,1,Car,5,0.547,62,Baseball/Softball,2,8,10,,10,10,11,Right foot,40,35,Same length,March,Spring,No,No,Breads/Sandwiches,Water,Science,4,8,5,Yes - broadband connection,Text messaging,500,500,2,,,,,,,,,,,,,,,,,,,
USA,CA,2011,12,Male,17,Right-Handed,187.9,33,195.7,1,Car,6,0.47,58,Cycling,800,700,400,,500,700,33,Same length,17,18,Ring finger,April,Winter,No,No,Poultry,Water,Physical education,8,9,4,Yes - broadband connection,In person,6,11,6,1,8,5,10,8,20,2,20,15,7,4,,,,,,,,
USA,CA,2018,12,Female,17,Right-Handed,164,23.5,160,3,Car,15,0.398,38,Swimming,583,385,727,497,850,995,23.5,Same length,7,7,Same length,March,Fall,Yes,No,No favorite,Water,Mathematics and statistics,6,10,4,Yes - broadband connection,Text messaging,30,50,14,2,30,15,2,0,6,3,10,10,6,2,A lot,4,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,International aid
USA,CA,2011,12,Female,18,Right-Handed,170,9.5,52.4,1,Walk,10,0.421,56,Soccer,500,500,500,,500,500,9.2,Left foot,7.1,7.6,Ring finger,September,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,12,4,Yes - broadband connection,Cell phone,100,100,20,,,,,,,,,,,,,,,,,,,
USA,CA,2019,11,Female,16.5,Right-Handed,60,21,,1.5,Car,15,0.407,59,Swimming,1000,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Female,16,Right-Handed,160,23,61,2,Car,3,0.552,56,Soccer,112,300,300,489,200,300,23,Same length,70,67,Index finger,January,Summer,Yes,Yes,Fruit,Water,Languages,3,8,4,Yes - other,Text messaging,2,4,0,0.5,20,1,5,0,1,1,1,1,0,0,None,1,Graduate degree,Other,Invisibility,Happy,Musician or singer,International aid
USA,CA,2017,12,Male,17,Left-Handed,175,24.1,174,2,Car,34,0.486,76,Basketball,503,1000,187,91,503,1000,28,Left foot,8,8,Ring finger,September,Winter,Yes,No,Meat,Water,Mathematics and statistics,6,11,,Yes - broadband connection,Text messaging,4,0,0,0,2,6,3,0,3,1,2,1,0,0,Some,3,Graduate degree,Rap/Hip hop,Invisibility,Famous,Relative,Health
USA,CA,2019,12,Female,17,Right-Handed,170,24,81,2,Car,10,0.6,43,Athletics,791,898,749,679,947,989,23,Right foot,80,70,Index finger,August,Winter,No,No,Salads,Water,Art,7,8,4,Yes - other,Text messaging,20,40,7,2,21,2,12,0,7,7,21,7,1,2,Some,3,Graduate degree,Pop,Telepathy,Happy,Business person,International aid
USA,CA,2021,11,Male,16,,175,27,175,3,Car,27,0.302,40,None,1000,750,800,1000,800,700,27,Same length,75,80,Ring finger,August,Winter,Yes,No,Other,,Computers and technology,7,10,4,Yes - broadband connection,Internet chat or instant messaging,26,256,0,2,28,14,0,28,0,35,70,0,0,7,Some,3,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Environment
USA,CA,2017,12,Male,17,Right-Handed,186,29,185,1,Car,15,0.338,25,Basketball,950,650,750,750,850,1000,28,Same length,87,90,Ring finger,January,Winter,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,6,Yes - other,Text messaging,20,25,7,0.5,11,8,3,2,3,1,17,4,0,2,Some,3,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,"Wildlife, animals"
USA,CA,2020,12,Female,17,Right-Handed,165,23,159.5,2,Car,20,0.294,50,Swimming,10009,941,904,824,316,370,22.5,Right foot,70,65,Index finger,June,Summer,Yes,No,Pizza/Pasta,Water,Art,7,6,5,Yes - broadband connection,Text messaging,15,22,10,2,4,10,3,0,4,4,6,8,0,6,A lot,4,Other,Rhythm and blues (R&B),Telepathy,Happy,Relative,"Wildlife, animals"
USA,CA,2015,12,Male,17,Right-Handed,171,27,77,2,Bus,15,0.443,49,Soccer,909,877,947,866,503,578,27,Same length,9,10,Ring finger,January,Summer,No,No,Meat,Soft drink (caffeinated),Physical education,6,10,6,Yes - broadband connection,Text messaging,10,10,12,1,1,3,0,10,10,2,1,3,8,2,A lot,4,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development
USA,CA,2017,11,Male,17,Right-Handed,176,31,178,2,Walk,15,0.319,52,Soccer,600,,,500,900,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,9,Male,14,Right-Handed,170,26,170,1,Car,11,0.353,46,Basketball,973,818,968,824,711,791,28,Left foot,80,85,Ring finger,March,Fall,No,No,No favorite,Water,Physical education,8,10,4,Yes - broadband connection,In person,20,20,14,1,5,15,10,5,0,0,1,14,0,2,Some,3,Graduate degree,Rap/Hip hop,Super strength,Healthy,Other,Other
USA,CA,2014,10,Male,15,Right-Handed,174,26,173,1,Car,10,1.137,43,Baseball/Softball,100,600,800,500,200,200,27,Same length,11,70,Same length,August,Summer,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Female,15,Right-Handed,160,23,155,2,Car,10,0.292,0.46,Other,1000,1000,1000,1000,760,760,23,Same length,74,77,Ring finger,October,Fall,No,No,Other,,Science,6,8,5,Yes - other,Text messaging,20,20,15,,,,,,,,,,,,,,,,,,,
USA,CA,2019,12,Male,17,Left-Handed,175,26,160,1,Car,5,0.344,60,Athletics,1000,1000,1000,1000,500,500,26,Same length,75,77,Ring finger,January,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,8,5,Yes - broadband connection,In person,448,500,100,5,24,3,5,1,20,2,40,4,15,3,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Happy,Teacher,Environment
USA,CA,2019,9,Female,15,Right-Handed,12.7,53.34,1.59,2,Car,10,1.036,63,Other,100,100,100,100,10,20,53.34,Same length,193,193,Same length,April,Summer,No,No,No favorite,Water,English,8,6,8,Yes - other,Text messaging,10,20,4,8,2,8,1,1,3,6,4,0,0,0,Very little,2,Graduate degree,Country,Fly,Happy,Relative,Other
USA,CA,2020,12,Male,17,Right-Handed,177,22,180,2,Boat,15,0.3,35,Soccer,1000,1000,1000,1000,1000,500,22,Same length,144,142,Index finger,March,Winter,No,No,Meat,Water,Physical education,8,8,5,Yes - broadband connection,Text messaging,60,80,10,0,2,20,20,10,5,2,5,2,0,10,Some,3,Graduate degree,Rock and roll,Telepathy,Happy,Relative,Health
